[individuals]
496
[dimensions]
3
[landmarks]
119
[rawpoints]
'#1 Gca_F_B_SMF_4509
-1.101849e+01 2.386610e+01 5.122512e+01
-9.963537e+00 2.510565e+01 5.147635e+01
-9.129393e+00 2.567818e+01 5.277587e+01
-8.776098e+00 2.573873e+01 5.427040e+01
-8.709024e+00 2.539402e+01 5.576664e+01
-8.636413e+00 2.509021e+01 5.730065e+01
-8.620105e+00 2.491639e+01 5.846230e+01
-8.647757e+00 2.474900e+01 5.965574e+01
-8.829116e+00 2.433045e+01 6.077151e+01
-9.466370e+00 2.342567e+01 6.199318e+01
-1.052745e+01 2.225819e+01 6.247122e+01
-1.120431e+01 2.077961e+01 6.220139e+01
-7.466117e+00 7.607054e+00 4.023711e+01
-6.926039e+00 5.676554e+00 4.135955e+01
-7.178388e+00 3.445374e+00 4.184584e+01
-8.156031e+00 1.603733e+00 4.281064e+01
-1.010738e+01 1.507463e+00 4.331669e+01
-1.187778e+01 2.476356e+00 4.330328e+01
-1.272530e+01 4.078146e+00 4.241489e+01
-6.079034e+00 2.191967e+00 6.523354e+01
-5.653378e+00 7.447035e-01 6.347878e+01
-5.935592e+00 -1.156052e+00 6.218945e+01
-7.005339e+00 -2.429525e+00 6.058049e+01
-9.059375e+00 -2.305058e+00 6.016068e+01
-1.085777e+01 -1.404480e+00 6.076562e+01
-1.179088e+01 -4.617863e-01 6.239403e+01
-1.727701e+01 3.189366e+00 4.592826e+01
-1.778892e+01 7.906974e-01 4.447460e+01
-1.765094e+01 -2.026724e+00 4.405912e+01
-1.718262e+01 -4.837411e+00 4.415515e+01
-1.632058e+01 -7.089368e+00 4.445322e+01
-1.511702e+01 -9.157454e+00 4.487391e+01
-1.366116e+01 -1.093646e+01 4.566071e+01
-1.738789e+01 2.799530e-01 5.929231e+01
-1.843212e+01 -2.470236e+00 5.910341e+01
-1.791024e+01 -5.300175e+00 5.846516e+01
-1.686454e+01 -7.809729e+00 5.732576e+01
-1.584946e+01 -9.620466e+00 5.606790e+01
-1.498682e+01 -1.152267e+01 5.482240e+01
-1.356755e+01 -1.262801e+01 5.319851e+01
-8.727567e+00 9.272917e+00 4.047607e+01
-3.841837e+00 7.161772e+00 4.299860e+01
-2.680431e-01 4.930185e+00 4.713360e+01
2.996551e+00 3.258021e+00 5.179052e+01
3.016436e-01 2.839018e+00 5.691352e+01
-2.628474e+00 2.927699e+00 6.196437e+01
-6.932502e+00 3.492208e+00 6.580898e+01

'#3 Gca_F_D_NHMUK_ZD_1902_11_12_1
-6.643639e+00 5.649312e+00 5.576926e+01
-7.735075e+00 3.648707e+00 5.237858e+01
NA NA NA
NA NA NA
NA NA NA
-8.959742e+00 2.901573e+01 3.814899e+01
NA NA NA
NA NA NA
-8.139740e+00 2.531895e+01 3.940392e+01
-6.793430e+00 1.941030e+01 4.255032e+01
-5.466023e+00 1.462298e+01 4.747028e+01
2.085358e-01 1.756468e+01 4.547784e+01
NA NA NA
NA NA NA
1.577368e+00 1.417270e+01 4.790078e+01
-8.337212e-01 1.561582e+01 4.272439e+01
5.654346e-01 1.235910e+01 4.441140e+01
-6.567069e+00 2.501117e+01 4.405379e+01
-7.870219e+00 2.242158e+01 4.020622e+01
-3.602741e+00 1.228098e+01 5.328780e+01
-5.003381e+00 1.172856e+01 5.225977e+01
-5.740446e+00 8.045946e+00 4.653403e+01
-6.038299e+00 9.142087e+00 4.766193e+01
NA NA NA
-7.177169e+00 1.808066e+00 5.745220e+01
-7.277646e+00 1.883174e+00 5.650628e+01
-7.480927e+00 1.666658e+00 5.595442e+01
-7.720831e+00 1.145811e+00 5.563044e+01
-7.973431e+00 6.287199e-01 5.536803e+01
NA NA NA
1.409519e+00 -2.110856e+00 6.070857e+01
-8.455731e-01 -6.675973e+00 5.460323e+01
NA NA NA
NA NA NA
4.137712e-01 -3.187509e+00 6.967724e+01
-4.513021e+00 -1.515642e+01 5.306011e+01
-8.854530e+00 -1.248990e+01 7.059756e+01
-1.052948e+01 -1.675155e+01 6.409703e+01
-3.098033e+00 -1.088661e+01 7.146579e+01
-6.870244e+00 -1.846892e+01 6.004968e+01
-7.348020e+00 -1.649706e+01 6.780643e+01
-3.485651e+00 -1.981531e+01 6.860407e+01
1.801087e+00 1.352831e+01 4.616506e+01
4.513130e+00 7.778648e+00 4.856622e+01
8.126435e+00 2.454378e+00 5.075152e+01
1.180696e+01 -2.844954e+00 5.288464e+01
1.097476e+01 -6.567985e+00 5.572217e+01
1.006394e+01 -1.026900e+01 5.856433e+01
9.399504e+00 -1.414092e+01 6.124234e+01
7.611485e+00 -1.676641e+01 6.363849e+01
5.206699e+00 -1.895549e+01 6.593111e+01
3.283930e+00 -2.155639e+01 6.824833e+01
5.682060e+00 1.163747e+00 6.800914e+01
7.123816e+00 -2.672147e+00 6.693026e+01
8.946867e+00 -6.486108e+00 6.663691e+01
1.103273e+01 -1.016895e+01 6.684319e+01
1.286815e+01 -1.285765e+01 6.647015e+01
1.508518e+01 -1.525456e+01 6.674617e+01
1.626966e+01 -1.830965e+01 6.672366e+01
1.390312e+01 -1.617897e+01 6.544111e+01
1.138091e+01 -1.428401e+01 6.408735e+01
9.399504e+00 -1.414092e+01 6.124234e+01
9.862758e+00 -1.715873e+01 5.930094e+01
1.197176e+01 -2.014536e+01 5.918052e+01
1.446573e+01 -2.280065e+01 5.951513e+01
1.200720e+01 -2.142569e+01 5.779955e+01
9.335878e+00 -1.954319e+01 5.735445e+01
7.195455e+00 -1.821330e+01 5.522654e+01
4.392851e+00 -1.574931e+01 5.297141e+01
1.976446e+00 -1.353965e+01 5.009214e+01
1.345906e-02 -1.181632e+01 4.660093e+01
2.412579e+00 -1.644228e+01 7.174588e+01
3.047099e+00 -1.749110e+01 7.179630e+01
3.612757e+00 -1.855827e+01 7.158113e+01
3.801356e+00 -1.958873e+01 7.094261e+01
3.748337e+00 -2.039923e+01 7.014885e+01
3.535294e+00 -2.104026e+01 6.923589e+01
3.283930e+00 -2.155639e+01 6.824833e+01
2.961889e+00 -2.235817e+01 6.727312e+01
2.601882e+00 -2.304117e+01 6.622832e+01
2.145306e+00 -2.350284e+01 6.510309e+01
1.201540e+00 -2.368381e+01 6.384138e+01
-1.325155e-01 -2.315625e+01 6.316536e+01
-8.513076e-01 -2.190632e+01 6.250486e+01
6.352079e+00 2.307509e+00 6.633995e+01
6.169249e+00 3.223471e+00 6.433086e+01
5.493061e+00 4.745728e+00 6.287001e+01
3.960490e+00 5.454523e+00 6.143555e+01
1.929132e+00 5.255676e+00 6.133363e+01
3.091340e-01 4.761554e+00 6.247747e+01
-4.846756e-01 3.832804e+00 6.411562e+01
1.183510e-01 -1.032151e+01 4.617715e+01
2.925481e-01 -8.308416e+00 4.609182e+01
-1.408635e-01 -6.333642e+00 4.604069e+01
-8.309402e-01 -4.516335e+00 4.659859e+01
-2.380669e+00 -3.821654e+00 4.826872e+01
-4.352767e+00 -4.793263e+00 4.918573e+01
-5.581937e+00 -6.768948e+00 4.867638e+01
-6.673409e+00 1.790017e+00 6.420628e+01
-7.262214e+00 4.293883e+00 6.289342e+01
-7.734533e+00 6.790675e+00 6.152148e+01
-7.584680e+00 8.799517e+00 5.945252e+01
-7.375896e+00 1.043079e+01 5.778932e+01
-6.862217e+00 1.178507e+01 5.595287e+01
-6.034598e+00 1.264362e+01 5.394080e+01
-1.015743e+01 -5.458830e+00 5.300088e+01
-1.097699e+01 -2.897902e+00 5.147350e+01
-1.193791e+01 -3.755218e-01 4.996488e+01
-1.086264e+01 2.375837e+00 4.905003e+01
-1.029924e+01 4.477098e+00 4.824636e+01
-9.583301e+00 6.499190e+00 4.736318e+01
-8.250104e+00 8.363319e+00 4.701278e+01
5.682060e+00 1.163747e+00 6.800914e+01
9.075047e+00 7.237033e-01 6.336498e+01
9.728170e+00 -1.040313e+00 5.793752e+01
1.180696e+01 -2.844954e+00 5.288464e+01
7.720465e+00 -5.561187e+00 5.058540e+01
4.473526e+00 -8.928900e+00 4.782389e+01
1.345906e-02 -1.181632e+01 4.660093e+01

'#4 Gca_F_D_SMF_4465
-7.302571e+00 -6.024530e+00 5.231838e+01
-6.058565e+00 -6.603445e+00 5.506112e+01
-9.866802e+00 7.549954e+00 5.633399e+01
-8.989879e+00 7.499077e+00 5.788607e+01
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
NA NA NA
-2.692077e+00 -1.323562e+01 5.070363e+01
NA NA NA
NA NA NA
NA NA NA
2.434918e+00 -1.330762e+01 4.642159e+01
NA NA NA
